,age,CompanyName,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
1592,11,Mahindra,420000,50000,0,0,0,0,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
1593,5,Mahindra,1200000,35000,0,0,0,0,17.3,1497,121.0,300Nm@ 1750-2500rpm,8
1594,5,Renault,350000,30000,1,0,0,0,23.01,999,67.0,91Nm@ 4250rpm,5
1595,9,Honda,650000,56000,1,0,0,0,17.4,1497,117.3,145Nm@ 4600rpm,5
1596,6,Maruti,400000,12700,1,0,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
1597,5,Tata,700000,35000,0,0,0,0,21.5,1497,108.5,260Nm@ 1500-2750rpm,5
1598,6,Hyundai,520000,30000,1,0,0,0,19.1,1197,82.0,114Nm@ 4000rpm,5
1599,11,Mahindra,450000,120000,0,0,0,0,12.05,2179,120.0,290Nm@ 1800-2800rpm,9
1600,6,Tata,850000,100000,0,0,0,0,14.1,2179,147.94,320Nm@ 1500-3000rpm,7
1601,6,Renault,350000,34000,1,0,0,0,25.17,799,53.3,72Nm@ 4386rpm,5
1602,12,Mahindra,450000,56000,0,0,0,0,13.0,2489,95.0,220Nm at 1400-2600 rpm,8
1603,15,Hyundai,165000,90000,1,0,0,0,19.81,1086,68.05,99.04Nm@ 4500rpm,5
1604,13,Hyundai,160000,65000,1,0,0,1,17.92,1086,62.1,96.1Nm@ 3000rpm,5
1605,12,Tata,300000,80000,0,0,0,0,13.93,2179,138.0,320Nm@ 1700-2700rpm,7
1606,11,Mahindra,550000,90000,0,0,0,2,12.05,2179,120.0,290Nm@ 1800-2800rpm,8
1607,8,Maruti,285000,40000,1,0,0,0,23.95,998,67.05,90Nm@ 3500rpm,5
1610,5,Maruti,900000,25000,1,0,0,0,19.34,1462,103.0,138Nm@ 4400rpm,7
1611,18,Maruti,180000,49455,1,0,0,0,19.7,796,46.3,62Nm@ 3000rpm,5
1612,7,Hyundai,220000,100000,1,0,0,0,21.1,814,55.2,74.5Nm@ 4000rpm,5
1613,10,Tata,120000,120000,0,0,0,0,22.3,1248,74.0,190Nm@ 1750-3000rpm,5
1614,13,Hyundai,220000,90000,1,0,0,3,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5
1615,10,Chevrolet,420000,46815,0,0,0,1,22.1,1248,76.9,205Nm@ 1750rpm,5
1616,10,Tata,160000,110000,0,0,0,0,19.4,1405,70.0,135.4Nm@ 2500rpm,5
1617,8,Hyundai,250000,80000,1,0,0,0,21.1,814,55.2,74.5Nm@ 4000rpm,5
1618,10,Maruti,385000,100000,0,0,0,2,20.77,1248,88.8,200Nm@ 1750rpm,7
1619,9,Maruti,318000,80000,1,0,0,0,20.51,998,67.06,90Nm@ 3500rpm,5
1620,5,Hyundai,480000,40000,1,0,0,0,20.14,1197,81.86,113.75nm@ 4000rpm,5
1621,8,Maruti,330000,70000,1,0,0,2,23.1,998,67.04,90Nm@ 3500rpm,5
1622,12,Tata,152000,80000,0,0,0,0,17.0,1405,71.0,135 Nm at 2500  rpm ,5
1623,9,Maruti,250000,40000,1,0,0,0,22.74,796,47.3,69Nm@ 3500rpm,5
1624,12,Tata,248000,80000,0,0,0,0,17.0,1405,71.0,135 Nm at 2500  rpm ,5
1625,12,Nissan,300000,60000,1,0,0,1,18.06,1198,75.0,104Nm@ 4000rpm,5
1626,6,Hyundai,550000,50000,1,0,0,0,18.6,1197,81.83,114.7Nm@ 4000rpm,5
1627,7,Hyundai,650000,30000,0,0,0,0,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
1628,6,Hyundai,445000,25000,1,0,0,0,18.9,1197,82.0,114Nm@ 4000rpm,5
1629,13,Toyota,450000,334000,0,0,0,0,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7
1630,7,Mahindra,600000,100000,0,0,0,0,17.45,1493,100.0,240Nm@ 1600-2800rpm,7
1631,9,Renault,495000,175000,0,0,0,0,19.01,1461,108.45,248Nm@ 2250rpm,5
1632,12,Maruti,220000,65000,1,0,1,2,12.6,1586,103.3,145Nm@ 4100rpm,5
1633,12,Maruti,260000,65000,1,0,1,2,12.6,1586,103.3,145Nm@ 4100rpm,5
1634,14,Hyundai,150000,90000,1,0,0,0,17.92,1086,62.1,96.1Nm@ 3000rpm,5
1635,12,Ford,200000,80000,0,0,0,1,20.0,1399,68.0,160Nm@ 2000rpm,5
1636,5,Mahindra,1465000,110000,0,0,0,0,16.36,2179,140.0,320Nm@ 1500-2800rpm,7
1638,15,Honda,250000,60000,1,0,1,2,20.0,1339,108.5,123Nm@ 1000-2500rpm,5
1639,9,Mahindra,310000,160000,0,0,0,0,14.95,2489,93.7,218Nm@ 1400-2600rpm,7
1640,13,Mahindra,600000,100875,0,0,1,0,11.79,2179,120.0,290Nm@ 1800-2800rpm,8
1641,5,Maruti,560000,20000,1,0,0,0,21.4,1197,83.1,115Nm@ 4000rpm,5
1642,7,Maruti,500000,30000,1,0,0,0,20.85,1197,83.14,115Nm@ 4000rpm,5
1643,10,Hyundai,270000,118000,0,0,0,0,24.0,1120,70.0,160Nm@ 1500-2750rpm,5
1644,10,Hyundai,420000,69000,0,0,0,2,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5
1645,8,Maruti,434999,25000,1,0,0,1,20.85,1197,83.14,115Nm@ 4000rpm,5
1646,8,Hyundai,400000,100000,1,0,1,0,16.9,1197,81.86,113.75Nm@ 4000rpm,5
1647,8,Maruti,470000,110000,0,0,0,0,26.59,1248,74.0,190Nm@ 2000rpm,5
1648,8,Nissan,480000,60000,0,0,0,2,20.45,1461,83.8,200Nm@ 1900rpm,5
1649,15,Hyundai,105000,128000,1,0,0,0,0.0,1086,62.0,96.1Nm@ 3000rpm,5
1650,6,Tata,325000,120000,0,0,0,0,27.28,1047,69.0,140Nm@ 1800-3000rpm,5
1652,3,Hyundai,675000,5000,1,0,1,0,20.7,1197,81.86,113.75Nm@ 4000rpm,5
1653,14,Hyundai,170000,90000,1,0,0,1,20.36,1197,78.9,111.8Nm@ 4000rpm,5
1654,6,Hyundai,1250000,90000,0,0,0,0,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5
1655,11,Honda,600000,144030,1,0,0,0,12.8,2354,177.6,222Nm@ 4300rpm,5
1656,9,Honda,819999,200000,0,0,0,0,25.1,1498,98.6,200Nm@ 1750rpm,5
1657,7,Hyundai,650000,29000,1,0,0,0,18.6,1197,81.83,114.7Nm@ 4000rpm,5
1658,16,Maruti,105000,90000,3,0,0,1,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5
1659,14,Mahindra,200000,176000,0,0,0,1,17.0,1461,66.0,"16@ 2,000(kgm@ rpm)",5
1660,10,Tata,200000,150000,0,0,0,0,19.09,1396,69.0,135Nm@ 2500rpm,5
1661,7,Maruti,220000,90000,1,0,0,0,16.8,796,34.2,59Nm@ 2500rpm,8
1662,9,Volkswagen,500000,70000,1,0,0,1,15.04,1598,103.2,153Nm@ 3800rpm,5
1663,16,Mahindra,175000,99000,0,0,0,1,19.2,1461,65.0,"16@ 2,000(kgm@ rpm)",5
1664,5,Tata,450000,5000,1,0,0,0,23.84,1199,84.0,114Nm@ 3500rpm,5
1665,15,Chevrolet,210000,90000,0,0,0,3,16.52,1991,123.7,305Nm@ 2000rpm,5
1666,12,Maruti,270000,89000,0,0,0,1,21.1,1248,73.9,113Nm@ 4500rpm,5
1667,17,Tata,110000,88000,0,0,0,1,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5
1668,8,Maruti,480000,30000,0,0,0,0,26.59,1248,74.0,190Nm@ 2000rpm,5
1669,7,Maruti,650000,50000,0,0,1,1,26.59,1248,74.0,190Nm@ 2000rpm,5
1670,10,Maruti,480000,80000,0,0,0,0,23.4,1248,74.0,190Nm@ 2000rpm,5
1671,7,Hyundai,700000,40000,0,0,0,0,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
1672,8,Maruti,650000,110000,0,0,0,2,20.77,1248,88.76,200Nm@ 1750rpm,7
1673,8,Hyundai,1300000,48000,0,0,0,1,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5
1674,7,Volkswagen,1350000,97000,0,0,1,0,16.96,1968,138.03,320Nm@ 1750-2500rpm,5
1675,7,Volkswagen,1000000,60000,0,0,1,0,22.15,1498,108.6,250Nm@ 1500-3000rpm,5
1676,12,Mercedes-Benz,1700000,110000,0,0,1,2,0.0,2987,165.0,510@ 1600-2400,5
1677,5,Toyota,1080000,12800,1,0,1,0,17.8,1496,105.5,140Nm@ 4200rpm,5
1678,11,Hyundai,170000,40000,1,0,0,0,21.1,814,55.2,74.5Nm@ 4000rpm,5
1679,6,Maruti,610000,49000,0,0,0,0,28.4,1248,74.0,190Nm@ 2000rpm,5
1680,9,Maruti,350000,25000,1,0,0,0,18.5,1197,85.8,114Nm@ 4000rpm,5
1681,7,Maruti,260000,65000,1,0,0,1,22.74,796,47.3,69Nm@ 3500rpm,5
1682,8,Fiat,700000,20000,0,0,0,0,20.4,1248,91.7,209Nm@ 2000rpm,5
1683,5,Volkswagen,678000,17000,1,0,0,0,18.78,999,75.0,95Nm@ 3000-4300rpm,5
1684,8,Maruti,800000,15000,0,0,0,0,23.65,1248,88.5,200Nm@ 1750rpm,5
1685,9,Toyota,400000,120000,0,0,0,1,23.59,1364,67.04,170Nm@ 1800-2400rpm,5
1686,13,Hyundai,300000,49000,1,0,0,0,18.5,1197,80.0,"11.4 kgm at 4,000 rpm",5
1687,7,Hyundai,520000,29000,1,0,0,0,18.6,1197,81.83,114.7Nm@ 4000rpm,5
1688,6,Nissan,850000,55000,0,0,1,0,19.61,1461,108.5,248Nm@ 2250rpm,5
1689,4,Mahindra,1460000,5000,0,0,0,0,17.3,1497,121.0,300Nm@ 1750-2500rpm,7
1690,6,Tata,830000,35000,0,0,0,0,21.5,1497,108.5,260Nm@ 1500-2750rpm,5
1691,5,Datsun,430000,5000,1,0,0,1,20.63,1198,67.0,104Nm@ 4000rpm,5
1692,6,Ford,850000,60000,0,0,0,0,22.77,1498,98.59,205Nm@ 1750-3250rpm,5
1693,6,Maruti,650000,70000,1,0,0,0,20.85,1197,83.14,115Nm@ 4000rpm,5
1694,15,Hyundai,120000,120000,0,0,0,1,16.8,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5
1695,7,Mahindra,730000,65100,0,0,0,1,18.49,1493,100.0,240Nm@ 1600-2800rpm,7
1696,4,Maruti,525000,20000,1,0,1,0,20.89,1197,81.8,113Nm@ 4200rpm,5
1697,8,Hyundai,600000,108000,0,0,0,0,21.19,1396,88.73,220Nm@ 1500-2750rpm,5
1698,4,Maruti,500000,15000,1,0,0,0,21.21,1197,81.8,113Nm@ 4200rpm,5
1699,14,Hyundai,150000,77000,1,0,0,0,17.92,1086,62.1,96.1Nm@ 3000rpm,5
1700,8,Maruti,409999,18500,1,0,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
1701,7,Mahindra,625000,120000,0,0,0,0,18.49,1493,100.0,240Nm@ 1600-2800rpm,7
1702,8,Renault,290000,15200,1,0,0,0,25.17,799,53.3,72Nm@ 4386rpm,5
1703,8,Honda,500000,35000,1,0,0,0,17.3,1497,117.3,145Nm@ 4600rpm,7
1704,12,Hyundai,475000,80000,0,0,0,0,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5
1705,10,Hyundai,190000,70000,1,0,0,0,21.1,814,55.2,74.5Nm@ 4000rpm,5
1706,9,Mahindra,750000,80000,0,0,0,1,15.1,2179,140.0,330Nm@ 1600-2800rpm,7
1707,9,Nissan,525000,120000,0,0,0,1,19.01,1461,108.5,248Nm@ 2250rpm,5
1708,11,Chevrolet,495000,82000,0,0,0,2,17.3,1998,163.7,380Nm@ 2000rpm,5
1728,13,Honda,321000,60000,1,0,1,1,16.8,1497,118.0,146Nm at 4800 rpm,5
1729,6,Toyota,585000,50000,1,0,0,0,17.71,1197,78.9,104Nm@ 3100rpm,5
1730,12,Ford,225000,70000,0,0,0,0,20.0,1399,68.0,160Nm@ 2000rpm,5
1731,6,Honda,500000,70000,0,0,0,0,25.8,1498,98.6,200Nm@ 1750rpm,5
1732,12,Hyundai,350000,90000,0,0,0,2,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5
1733,7,Maruti,756000,70000,0,0,0,1,24.52,1248,88.5,200Nm@ 1750rpm,7
1734,9,Maruti,240000,50000,1,0,0,0,22.74,796,47.3,69Nm@ 3500rpm,5
1735,11,Maruti,80000,120000,1,0,0,1,19.7,796,35.0,6.1kgm@ 3000rpm,8
1736,4,Hyundai,800000,5000,1,0,0,0,17.19,1197,81.86,114.73Nm@ 4000rpm,5
1737,5,Tata,1250000,25000,0,0,0,0,17.6,2179,147.94,320Nm@ 1500-3000rpm,7
1738,14,Mahindra,320000,80000,0,0,0,2,12.05,2179,120.0,290Nm@ 1800-2800rpm,7
1739,6,Hyundai,509999,25000,1,0,0,0,18.9,1197,82.0,114Nm@ 4000rpm,5
1740,4,Tata,650000,15000,0,0,0,0,22.95,1248,74.0,190Nm@ 1750-3000rpm,5
1741,12,Maruti,210000,35000,1,0,0,1,20.92,998,67.1,90Nm@ 3500rpm,5
1742,15,Maruti,110000,80000,1,0,0,1,19.7,796,46.3,62Nm@ 3000rpm,5
1743,6,Tata,665000,25000,0,0,0,0,21.5,1497,108.5,260Nm@ 1500-2750rpm,5
1744,6,Volkswagen,555000,52000,0,0,0,0,21.66,1498,108.62,250Nm@ 1500-3000rpm,5
1745,6,Volkswagen,560000,52000,0,0,0,0,21.66,1498,108.62,250Nm@ 1500-3000rpm,5
1746,7,Mahindra,375000,80000,0,0,0,0,25.32,1198,77.0,190Nm@ 1750-2250rpm,6
1748,6,Toyota,2950000,50000,0,0,1,0,15.04,2755,174.5,450Nm@ 1600-2400rpm,7
1749,6,Maruti,605000,127000,0,0,0,0,28.4,1248,74.02,190Nm@ 2000rpm,5
1750,6,Honda,720000,30000,1,0,0,0,17.5,1199,88.7,110Nm@ 4800rpm,5
1751,6,Maruti,800000,70000,0,0,0,0,24.52,1248,88.5,200Nm@ 1750rpm,7
1752,6,Mahindra,1325000,54000,0,0,0,0,16.0,2179,140.0,330Nm@ 1600-2800rpm,7
1753,12,Mitsubishi,625000,120000,0,0,0,1,10.5,2835,116.9,292Nm@ 2000rpm,6
1754,12,Hyundai,350000,116500,0,0,0,0,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5
1755,11,Toyota,600000,145000,0,0,0,1,12.99,2494,100.0,200Nm@ 1400-3400rpm,8
1756,11,Hyundai,300000,120000,1,0,0,0,18.5,1197,82.85,113.7Nm@ 4000rpm,5
1757,12,Tata,240000,120000,0,0,0,0,13.93,2179,138.1,320Nm@ 1700-2700rpm,7
1758,7,Ford,377000,80000,0,0,0,0,25.83,1498,99.0,215Nm@ 1750-3000rpm,5
1759,10,Maruti,450000,140000,1,0,0,0,16.02,1373,93.7,130Nm@ 4000rpm,7
1760,15,Hyundai,160000,100000,1,0,0,3,13.9,1599,103.2,"14.9@ 3,000(kgm@ rpm)",5
1761,4,Hyundai,525000,100000,1,0,0,0,20.14,1197,81.86,113.75nm@ 4000rpm,5
1762,12,Toyota,550000,168000,0,0,0,1,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8
1763,13,Chevrolet,270000,120000,0,0,0,2,18.3,1991,147.9,327Nm@ 2600rpm,5
1764,7,Toyota,570000,145000,0,0,0,1,23.59,1364,67.05,170Nm@ 1800-2400rpm,5
1765,12,Ford,225000,90000,0,0,0,1,20.0,1399,68.0,160Nm@ 2000rpm,5
1766,4,Hyundai,590000,90000,1,0,0,0,20.14,1197,81.86,113.75nm@ 4000rpm,5
1767,5,Jeep,1675000,80000,0,0,0,0,17.1,1956,170.0,350Nm@ 1750-2500rpm,5
1768,4,Ford,800000,33000,1,1,0,0,19.4,1194,94.93,120Nm@ 4250rpm,5
1769,9,Chevrolet,450000,13500,1,0,0,0,18.2,1199,82.4,108.5Nm@ 5000rpm,5
1770,11,Tata,300000,80000,0,0,0,0,17.0,1405,70.0,"13.5@ 2,500(kgm@ rpm)",5
1771,6,Hyundai,645000,20000,1,0,0,0,18.6,1197,81.83,114.7Nm@ 4000rpm,5
1772,10,Maruti,520000,58000,0,0,0,0,23.4,1248,74.0,190Nm@ 2000rpm,5
1773,10,Hyundai,200000,40000,1,0,0,0,21.1,814,55.2,74.5Nm@ 4000rpm,5
1774,8,Honda,700000,30000,1,0,0,0,17.4,1497,117.3,145Nm@ 4600rpm,5
1775,23,Maruti,45000,50000,1,0,0,1,16.1,796,37.0,59Nm@ 2500rpm,4
1776,7,Ford,459999,73000,0,0,0,0,25.83,1498,99.0,215Nm@ 1750-3000rpm,5
1777,9,Maruti,325000,90000,0,0,0,1,23.2,1248,73.94,190Nm@ 2000rpm,5
1778,8,Maruti,350000,50000,1,0,0,1,20.51,998,67.04,90Nm@ 3500rpm,5
1779,12,Hyundai,440000,80000,0,0,0,2,22.32,1582,126.3,259.9Nm@ 1900-2750rpm,5
1780,12,Hyundai,320000,70000,0,0,0,1,21.9,1396,90.0,22.4 kgm at 1750-2750rpm,5
1781,12,Chevrolet,169000,41000,1,0,0,0,18.0,995,62.0,90.3Nm@ 4200rpm,5
1782,10,Volkswagen,350000,50000,1,0,0,3,16.47,1198,73.9,110Nm@ 3750rpm,5
1783,9,Ford,350000,113226,0,1,0,0,19.68,1399,67.0,160Nm@ 2000rpm,5
1784,10,Ford,310000,90000,0,0,0,1,20.0,1399,68.1,160Nm@ 2000rpm,5
1786,13,Mahindra,420000,160500,0,0,0,3,13.5,2179,115.0,277.5Nm@ 1700-2200rpm,5
1787,8,Maruti,685000,30000,1,0,1,0,19.12,1373,91.1,130Nm@ 4000rpm,5
1788,9,Renault,560000,132000,0,0,0,1,19.72,1461,108.45,245Nm@ 1750rpm,5
1789,10,Maruti,470000,120000,0,0,0,2,22.9,1248,74.0,190Nm@ 2000rpm,5
1790,12,Hyundai,380000,80000,1,0,0,1,16.2,1599,103.2,14.9 KGM at 3000 RPM,5
1791,8,Mahindra,670000,57000,0,0,0,1,15.4,1997,120.0,280Nm@ 1800-2800rpm,7
1792,5,Maruti,550000,5000,1,0,0,0,22.0,1197,81.8,113Nm@ 4200rpm,5
1793,7,Hyundai,749000,25000,1,0,0,0,17.01,1591,121.3,154.9Nm@ 4200rpm,5
1794,8,Hyundai,899000,80000,0,0,0,1,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5
1795,12,Chevrolet,290000,88000,0,0,0,2,16.52,1991,123.7,305Nm@ 2000rpm,5
1796,9,Toyota,869999,217000,0,0,0,1,12.99,2494,100.6,200Nm@ 1400-3400rpm,7
1797,8,Datsun,350000,60000,1,0,0,0,20.62,1198,67.0,104Nm@ 4000rpm,7
1798,6,Maruti,500000,43000,1,0,0,0,20.85,1197,83.14,115Nm@ 4000rpm,5
1799,9,Skoda,400000,77000,0,0,1,1,21.66,1498,103.6,250Nm@ 1500-2500rpm,5
1800,7,Renault,260000,30000,1,0,0,0,25.17,799,53.3,72Nm@ 4386rpm,5
1801,8,Maruti,220000,40000,1,0,0,1,22.74,796,47.3,69Nm@ 3500rpm,5
1802,9,Chevrolet,190000,139000,0,0,0,1,18.2,1248,73.8,172.5Nm@ 1750rpm,8
1803,7,Hyundai,400000,80000,1,0,0,0,18.9,1197,82.0,114Nm@ 4000rpm,5
1804,9,Chevrolet,170000,76000,0,0,0,1,25.44,936,56.3,142.5Nm@ 1750rpm,5
1805,4,Hyundai,650000,3500,1,0,0,0,18.6,1197,81.86,117nm@ 4000rpm,5
1806,16,Maruti,60000,62000,1,0,0,1,16.1,796,37.0,59Nm@ 2500rpm,4
1807,16,Tata,300000,110000,1,0,0,1,12.0,2092,127.0,"20@ 3,750(kgm@ rpm)",7
1808,11,Chevrolet,125000,40000,1,0,0,1,16.2,995,62.1,90.3Nm@ 4200rpm,5
1810,11,Mahindra,500000,1500000,0,0,0,0,15.1,2179,140.0,330Nm@ 1600-2800rpm,7
1811,12,Maruti,170000,70000,1,0,0,2,19.7,796,46.3,62Nm@ 3000rpm,5
1812,11,Maruti,310000,77000,0,0,0,1,19.3,1248,73.9,190Nm@ 2000rpm,5
1813,12,Chevrolet,130000,110000,1,0,0,1,18.0,995,62.0,90.3Nm@ 4200rpm,5
1814,7,Maruti,465000,20000,1,0,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
1816,18,Mercedes-Benz,800000,120005,0,0,1,1,11.0,2987,198.5,"46.5@ 1,400-2,800(kgm@ rpm)",5
1817,11,Maruti,260000,16830,1,0,0,0,20.2,998,67.1,90Nm@ 3500rpm,5
1818,10,Mahindra,500000,70000,0,0,0,0,15.96,2523,63.0,180Nm@ 1440-1500rpm,9
1819,6,Renault,325000,38000,1,0,0,0,23.01,999,67.0,91Nm@ 4250rpm,5
1820,10,Mahindra,400000,80000,0,0,0,0,15.96,2523,63.0,180Nm@ 1440-1500rpm,9
1821,5,Toyota,3200000,50000,0,0,0,0,14.24,2755,174.5,420Nm@ 1400-2600rpm,7
1822,16,Tata,200000,50000,0,0,0,0,17.88,1396,52.8,85Nm@ 2500rpm,5
1823,10,Mahindra,450000,52000,0,0,0,0,17.21,1493,100.0,240Nm@ 1600-2800rpm,7
1824,11,Tata,229999,50000,0,0,0,0,17.0,1405,70.0,"13.5@ 2,500(kgm@ rpm)",5
1825,7,Hyundai,340000,30000,1,0,0,0,21.1,814,55.2,74.5Nm@ 4000rpm,5
1826,9,Mahindra,550000,103000,0,0,0,0,15.96,2523,62.1,195Nm@ 1400-2200rpm,7
1827,12,Ford,975000,93468,0,0,1,1,11.4,2953,153.86,380Nm@ 2500rpm,7
1829,13,Volkswagen,225000,80000,1,0,0,1,14.0,1595,102.0,"15@ 3,800(kgm@ rpm)",5
1831,10,Tata,280000,70000,0,0,0,0,25.0,1396,69.0,140Nm@ 1800-3000rpm,5
1833,11,Tata,259000,35000,0,0,0,0,23.03,1396,69.0,140Nm@ 1800-3000rpm,5
1834,5,Toyota,3200000,60000,0,0,1,0,15.04,2755,174.5,450Nm@ 1600-2400rpm,7
1835,5,Mahindra,1400000,30000,0,0,0,0,16.0,1997,140.0,320Nm@ 1600-2800rpm,7
1836,8,Ford,416000,40000,1,0,1,0,17.01,1499,110.4,136Nm@ 4250rpm,5
1837,12,Tata,250000,70000,0,0,0,0,19.0,1248,90.0,200Nm@ 1750-3000rpm,5
1838,13,Tata,210000,120000,0,0,0,0,21.12,1248,88.8,200Nm@ 1750-3000rpm,5
1839,15,Mahindra,290000,120000,0,0,0,1,12.05,2179,120.0,290Nm@ 1800-2800rpm,8
1840,11,Tata,220000,90000,0,0,0,0,23.03,1396,69.0,140Nm@ 1800-3000rpm,5
1841,11,Tata,246000,35000,0,0,0,1,23.03,1396,69.0,140Nm@ 1800-3000rpm,5
1842,5,Maruti,260000,30000,1,0,0,0,16.8,796,34.2,59Nm@ 2500rpm,8
1843,5,Hyundai,1050000,70000,0,0,0,0,21.38,1396,88.7,219.7Nm@ 1500-2750rpm,5
1847,7,Maruti,550000,20000,1,0,0,0,20.4,1197,81.8,113Nm@ 4200rpm,5
1848,6,Tata,450000,70000,0,0,0,0,19.09,1405,69.01,135Nm@ 2500rpm,5
1849,7,Honda,773000,65000,1,0,0,0,17.8,1497,117.3,145Nm@ 4600rpm,5
1850,6,Tata,450000,25000,1,0,0,0,23.84,1199,84.0,114Nm@ 3500rpm,5
1851,4,Maruti,409999,10000,1,0,0,0,15.37,1196,73.0,101Nm@ 3000rpm,5
1852,20,Maruti,45000,35000,1,0,0,3,16.1,796,37.0,59Nm@ 2500rpm,4
1853,9,Nissan,600000,80000,1,0,1,1,11.07,2496,179.5,228Nm@ 4400rpm,5
1854,13,Chevrolet,250000,63000,1,0,0,0,18.6,1199,79.4,108Nm@ 4400rpm,5
1855,15,Tata,70000,100000,0,0,0,0,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5
1866,5,Maruti,430000,16589,1,2,0,0,20.51,998,67.04,90Nm@ 3500rpm,5
1868,7,Honda,675000,53201,1,2,0,1,17.8,1497,117.3,145Nm@ 4600rpm,5
1869,6,Maruti,570000,25272,1,2,0,0,21.01,1197,81.8,113Nm@ 4200rpm,5
1870,6,Maruti,850000,53619,0,2,0,0,24.3,1248,88.5,200Nm@ 1750rpm,5
1874,5,Ford,640000,6001,1,1,0,0,15.9,1496,120.69,149Nm@ 4500rpm,5
1875,10,Tata,250000,80000,0,0,0,0,19.09,1405,69.01,135Nm@ 2500rpm,5
1876,5,Renault,1250000,12000,0,0,0,0,19.6,1461,108.45,245Nm@ 1750rpm,5
1877,6,Ford,889000,25000,1,0,0,0,17.0,1497,121.31,150Nm@ 4500rpm,5
1878,6,Hyundai,750000,40000,0,0,0,1,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
1879,13,Maruti,320000,130000,0,0,0,2,17.8,1248,75.0,190Nm@ 2000rpm,5
1880,12,Skoda,600000,202000,0,0,0,0,17.67,1968,138.08,320Nm@ 1750-2500rpm,5
1881,5,Maruti,1000000,40000,0,0,0,0,28.09,1248,88.5,200Nm@ 1750rpm,5
1882,23,Maruti,110000,70000,1,0,0,3,17.3,993,60.0,78Nm@ 4500rpm,5
1883,15,Honda,250000,120000,1,0,0,1,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5
1884,8,Maruti,600000,60000,0,0,0,0,26.59,1248,74.0,190Nm@ 2000rpm,5
1885,14,Maruti,165000,60000,1,0,0,0,19.0,998,67.1,90Nm@ 3500rpm,5
1886,19,Maruti,118000,60000,1,0,0,1,19.7,796,46.3,62Nm@ 3000rpm,5
1887,7,Maruti,700000,78000,0,0,0,0,27.39,1248,74.0,190Nm@ 2000rpm,5
1888,10,Renault,585000,80000,0,0,0,1,20.46,1461,83.8,200Nm@ 1900rpm,5
1889,17,Maruti,120000,120000,1,0,0,3,19.7,796,46.3,62Nm@ 3000rpm,5
1890,20,Maruti,65000,90000,1,0,0,3,16.1,796,37.0,59Nm@ 2500rpm,4
1891,17,Maruti,150000,100000,1,0,0,1,19.7,796,46.3,62Nm@ 3000rpm,5
1892,14,Maruti,150000,70000,1,0,0,3,19.7,796,46.3,62Nm@ 3000rpm,5
1893,19,Hyundai,170000,160000,0,0,0,2,13.1,1493,82.0,187Nm@ 2500rpm,5
1894,17,Mahindra,250000,120000,0,0,0,2,10.5,2179,120.0,290Nm@ 1800-2800rpm,8
1895,18,Hyundai,100000,100000,0,0,0,2,13.1,1493,82.0,187Nm@ 2500rpm,5
1896,10,Maruti,599000,60000,0,0,0,1,20.77,1248,88.76,200Nm@ 1750rpm,7
1897,13,Chevrolet,250000,135000,0,0,0,2,18.3,1991,147.9,327Nm@ 2600rpm,5
1898,7,Maruti,570000,90000,1,0,0,0,20.4,1197,81.8,113Nm@ 4200rpm,5
1899,10,Volkswagen,440000,75000,0,0,0,1,22.07,1199,73.9,180Nm@ 2000rpm,5
1900,18,Toyota,300000,185000,0,0,0,1,11.4,2494,100.6,200Nm@ 1400-3400rpm,7
1901,8,Nissan,300000,71717,1,0,1,1,19.34,1198,76.0,104Nm@ 4400rpm,5
1902,12,Mahindra,500000,150000,0,0,1,1,11.79,2179,120.0,290Nm@ 1800-2800rpm,8
1903,7,Maruti,660000,55000,0,0,0,0,26.59,1248,74.0,190Nm@ 2000rpm,5
1904,11,Ford,256000,90000,1,0,0,1,15.3,1596,99.6,146Nm@ 3400rpm,5
1905,5,Renault,409999,35000,1,0,0,0,23.01,999,67.0,91Nm@ 4250rpm,5
1906,8,Toyota,1888000,120000,0,0,0,1,12.55,2982,168.5,343Nm@ 1400-3400rpm,7
